Including only topk=-1 tokens.
New outer iteration, current iterations=0
vers---;Pe_.	 (1224,5634,29936,15666,5396)
0
Using 20 examples.
0 trigger=vers---;Pe_. [reward] curr=2.19 best=2.19
1 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
2 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
3 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
4 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
5 trigger=Don---3Pe_. [reward] curr=1.93 best=1.84
111 trigger=en_.|/**loy [reward] curr=1.39 best=-7.99
112 trigger=en_.|/**loy [reward] curr=-4.06 best=-7.99
113 trigger=en_.|/**loy [reward] curr=-5.93 best=-7.99
114 trigger=en_.|/**loy [reward] curr=-4.57 best=-7.99
115 trigger=en_.|/**loy [reward] curr=-7.43 best=-7.99
116 trigger=en_.|/**loy [reward] curr=-3.88 best=-7.99
117 trigger=en_.|/**loy [reward] curr=-5.56 best=-7.99
118 trigger=en_.|/**loy [reward] curr=-7.54 best=-7.99
119 trigger=en_.|/**loy [reward] curr=-7.49 best=-7.99
[dets trigger] en_.|/**loy	 (427,5396,29989,7918,2376)
120 trigger=en_.|/**loy [reward] curr=-6.95 best=-7.99
121 trigger=en_.|/**loy [reward] curr=-5.96 best=-7.99
122 trigger=en_.|/**loy [reward] curr=-6.16 best=-7.99
123 trigger=en_.|/**loy [reward] curr=-0.62 best=-7.99
124 trigger=en_.|/**loy [reward] curr=-7.08 best=-7.99
125 trigger=en_.|/**loy [reward] curr=-4.12 best=-7.99
126 trigger=en_.|/**loy [reward] curr=-7.54 best=-7.99
127 trigger=en_.|/**loy [reward] curr=-3.52 best=-7.99
128 trigger=en_.|/**loy [reward] curr=-7.40 best=-7.99
129 trigger=en_.|/**loy [reward] curr=1.10 best=-7.99
130 trigger=en_.|/**loy [reward] curr=0.27 best=-7.99
131 trigger=en_.|/**loy [reward] curr=-6.95 best=-7.99
132 trigger=en_.|/**loy [reward] curr=-3.52 best=-7.99
